Fecha,Zona,CantidadTotal
01/01/2017,RURAL,19
01/01/2017,URBANA,76
02/01/2017,RURAL,8
02/01/2017,URBANA,20
03/01/2017,RURAL,12
03/01/2017,URBANA,23
04/01/2017,RURAL,9
04/01/2017,URBANA,28
05/01/2017,RURAL,11
05/01/2017,URBANA,14
06/01/2017,RURAL,8
06/01/2017,URBANA,14
07/01/2017,RURAL,10
07/01/2017,URBANA,31
08/01/2017,RURAL,13
08/01/2017,URBANA,23
09/01/2017,RURAL,14
09/01/2017,URBANA,20
10/01/2017,RURAL,4
10/01/2017,URBANA,18
11/01/2017,RURAL,7
11/01/2017,URBANA,20
12/01/2017,RURAL,12
12/01/2017,URBANA,19
13/01/2017,RURAL,6
13/01/2017,URBANA,15
14/01/2017,RURAL,15
14/01/2017,URBANA,46
15/01/2017,RURAL,14
15/01/2017,URBANA,35
16/01/2017,RURAL,11
16/01/2017,URBANA,19
17/01/2017,RURAL,8
17/01/2017,URBANA,16
18/01/2017,RURAL,2
18/01/2017,URBANA,12
19/01/2017,RURAL,3
19/01/2017,URBANA,20
20/01/2017,RURAL,17
20/01/2017,URBANA,21
21/01/2017,RURAL,6
21/01/2017,URBANA,17
22/01/2017,RURAL,7
22/01/2017,URBANA,34
23/01/2017,RURAL,14
23/01/2017,URBANA,23
24/01/2017,RURAL,9
24/01/2017,URBANA,23
25/01/2017,RURAL,7
25/01/2017,URBANA,21
26/01/2017,RURAL,8
26/01/2017,URBANA,19
27/01/2017,RURAL,9
27/01/2017,URBANA,22
28/01/2017,RURAL,9
28/01/2017,URBANA,24
29/01/2017,RURAL,11
29/01/2017,URBANA,37
30/01/2017,RURAL,11
30/01/2017,URBANA,11
31/01/2017,RURAL,5
31/01/2017,URBANA,22
01/02/2017,RURAL,5
01/02/2017,URBANA,17
02/02/2017,RURAL,14
02/02/2017,URBANA,21
03/02/2017,RURAL,9
03/02/2017,URBANA,23
04/02/2017,RURAL,11
04/02/2017,URBANA,31
05/02/2017,RURAL,10
05/02/2017,URBANA,35
06/02/2017,RURAL,10
06/02/2017,URBANA,22
07/02/2017,RURAL,8
07/02/2017,URBANA,21
08/02/2017,RURAL,7
08/02/2017,URBANA,17
09/02/2017,RURAL,7
09/02/2017,URBANA,12
10/02/2017,RURAL,11
10/02/2017,URBANA,20
11/02/2017,RURAL,9
11/02/2017,URBANA,20
12/02/2017,RURAL,14
12/02/2017,URBANA,31
13/02/2017,RURAL,12
13/02/2017,URBANA,19
14/02/2017,RURAL,10
14/02/2017,URBANA,17
15/02/2017,RURAL,9
15/02/2017,URBANA,22
16/02/2017,RURAL,8
16/02/2017,URBANA,16
17/02/2017,RURAL,10
17/02/2017,URBANA,16
18/02/2017,RURAL,16
18/02/2017,URBANA,25
19/02/2017,RURAL,12
19/02/2017,URBANA,42
20/02/2017,RURAL,6
20/02/2017,URBANA,21
21/02/2017,RURAL,11
21/02/2017,URBANA,15
22/02/2017,RURAL,5
22/02/2017,URBANA,18
23/02/2017,RURAL,5
23/02/2017,URBANA,19
24/02/2017,RURAL,7
24/02/2017,URBANA,20
25/02/2017,RURAL,19
25/02/2017,URBANA,24
26/02/2017,RURAL,10
26/02/2017,URBANA,33
27/02/2017,RURAL,6
27/02/2017,URBANA,22
28/02/2017,RURAL,5
28/02/2017,URBANA,15
01/03/2017,RURAL,4
01/03/2017,URBANA,19
02/03/2017,RURAL,12
02/03/2017,URBANA,15
03/03/2017,RURAL,9
03/03/2017,URBANA,16
04/03/2017,RURAL,9
04/03/2017,URBANA,26
05/03/2017,RURAL,17
05/03/2017,URBANA,41
06/03/2017,RURAL,11
06/03/2017,URBANA,23
07/03/2017,RURAL,5
07/03/2017,URBANA,17
08/03/2017,RURAL,3
08/03/2017,URBANA,14
09/03/2017,RURAL,9
09/03/2017,URBANA,13
10/03/2017,RURAL,8
10/03/2017,URBANA,19
11/03/2017,RURAL,15
11/03/2017,URBANA,17
12/03/2017,RURAL,20
12/03/2017,URBANA,36
13/03/2017,RURAL,10
13/03/2017,URBANA,28
14/03/2017,RURAL,5
14/03/2017,URBANA,13
15/03/2017,RURAL,9
15/03/2017,URBANA,9
16/03/2017,RURAL,3
16/03/2017,URBANA,6
17/03/2017,RURAL,10
17/03/2017,URBANA,19
18/03/2017,RURAL,10
18/03/2017,URBANA,20
19/03/2017,RURAL,14
19/03/2017,URBANA,35
20/03/2017,RURAL,8
20/03/2017,URBANA,21
21/03/2017,RURAL,7
21/03/2017,URBANA,18
22/03/2017,RURAL,8
22/03/2017,URBANA,22
23/03/2017,RURAL,6
23/03/2017,URBANA,24
24/03/2017,RURAL,11
24/03/2017,URBANA,18
25/03/2017,RURAL,9
25/03/2017,URBANA,24
26/03/2017,RURAL,14
26/03/2017,URBANA,29
27/03/2017,RURAL,11
27/03/2017,URBANA,24
28/03/2017,RURAL,9
28/03/2017,URBANA,17
29/03/2017,RURAL,9
29/03/2017,URBANA,12
30/03/2017,RURAL,8
30/03/2017,URBANA,10
31/03/2017,RURAL,7
31/03/2017,URBANA,17
01/04/2017,RURAL,7
01/04/2017,URBANA,23
02/04/2017,RURAL,24
02/04/2017,URBANA,44
03/04/2017,RURAL,13
03/04/2017,URBANA,24
04/04/2017,RURAL,9
04/04/2017,URBANA,16
05/04/2017,RURAL,5
05/04/2017,URBANA,18
06/04/2017,RURAL,12
06/04/2017,URBANA,22
07/04/2017,RURAL,7
07/04/2017,URBANA,33
08/04/2017,RURAL,8
08/04/2017,URBANA,22
09/04/2017,RURAL,15
09/04/2017,URBANA,28
10/04/2017,RURAL,4
10/04/2017,URBANA,30
11/04/2017,RURAL,8
11/04/2017,URBANA,20
12/04/2017,RURAL,5
12/04/2017,URBANA,13
13/04/2017,RURAL,9
13/04/2017,URBANA,16
14/04/2017,RURAL,4
14/04/2017,URBANA,15
15/04/2017,RURAL,5
15/04/2017,URBANA,14
16/04/2017,RURAL,20
16/04/2017,URBANA,21
17/04/2017,RURAL,11
17/04/2017,URBANA,29
18/04/2017,RURAL,9
18/04/2017,URBANA,17
19/04/2017,RURAL,11
19/04/2017,URBANA,21
20/04/2017,RURAL,8
20/04/2017,URBANA,12
21/04/2017,RURAL,10
21/04/2017,URBANA,18
22/04/2017,RURAL,12
22/04/2017,URBANA,36
23/04/2017,RURAL,16
23/04/2017,URBANA,42
24/04/2017,RURAL,11
24/04/2017,URBANA,18
25/04/2017,RURAL,6
25/04/2017,URBANA,15
26/04/2017,RURAL,7
26/04/2017,URBANA,23
27/04/2017,RURAL,16
27/04/2017,URBANA,17
28/04/2017,RURAL,10
28/04/2017,URBANA,14
29/04/2017,RURAL,9
29/04/2017,URBANA,32
30/04/2017,RURAL,13
30/04/2017,URBANA,37
01/05/2017,RURAL,16
01/05/2017,URBANA,22
02/05/2017,RURAL,16
02/05/2017,URBANA,23
03/05/2017,RURAL,9
03/05/2017,URBANA,23
04/05/2017,RURAL,6
04/05/2017,URBANA,18
05/05/2017,RURAL,7
05/05/2017,URBANA,22
06/05/2017,RURAL,9
06/05/2017,URBANA,19
07/05/2017,RURAL,19
07/05/2017,URBANA,29
08/05/2017,RURAL,8
08/05/2017,URBANA,21
09/05/2017,RURAL,6
09/05/2017,URBANA,17
10/05/2017,RURAL,8
10/05/2017,URBANA,16
11/05/2017,RURAL,2
11/05/2017,URBANA,12
12/05/2017,RURAL,12
12/05/2017,URBANA,19
13/05/2017,RURAL,9
13/05/2017,URBANA,28
14/05/2017,RURAL,14
14/05/2017,URBANA,39
15/05/2017,RURAL,7
15/05/2017,URBANA,21
16/05/2017,RURAL,10
16/05/2017,URBANA,24
17/05/2017,RURAL,3
17/05/2017,URBANA,19
18/05/2017,RURAL,14
18/05/2017,URBANA,14
19/05/2017,RURAL,7
19/05/2017,URBANA,28
20/05/2017,RURAL,19
20/05/2017,URBANA,22
21/05/2017,RURAL,25
21/05/2017,URBANA,39
22/05/2017,RURAL,10
22/05/2017,URBANA,21
23/05/2017,RURAL,5
23/05/2017,URBANA,23
24/05/2017,RURAL,11
24/05/2017,URBANA,18
25/05/2017,RURAL,11
25/05/2017,URBANA,23
26/05/2017,RURAL,7
26/05/2017,URBANA,22
27/05/2017,RURAL,12
27/05/2017,URBANA,23
28/05/2017,RURAL,10
28/05/2017,URBANA,35
29/05/2017,RURAL,16
29/05/2017,URBANA,32
30/05/2017,RURAL,7
30/05/2017,URBANA,20
31/05/2017,RURAL,10
31/05/2017,URBANA,24
01/06/2017,RURAL,11
01/06/2017,URBANA,17
02/06/2017,RURAL,6
02/06/2017,URBANA,23
03/06/2017,RURAL,9
03/06/2017,URBANA,39
04/06/2017,RURAL,10
04/06/2017,URBANA,34
05/06/2017,RURAL,15
05/06/2017,URBANA,14
06/06/2017,RURAL,5
06/06/2017,URBANA,17
07/06/2017,RURAL,10
07/06/2017,URBANA,17
08/06/2017,RURAL,5
08/06/2017,URBANA,13
09/06/2017,RURAL,4
09/06/2017,URBANA,16
10/06/2017,RURAL,15
10/06/2017,URBANA,29
11/06/2017,RURAL,4
11/06/2017,URBANA,30
12/06/2017,RURAL,11
12/06/2017,URBANA,17
13/06/2017,RURAL,5
13/06/2017,URBANA,23
14/06/2017,RURAL,8
14/06/2017,URBANA,14
15/06/2017,RURAL,6
15/06/2017,URBANA,20
16/06/2017,RURAL,6
16/06/2017,URBANA,24
17/06/2017,RURAL,8
17/06/2017,URBANA,20
18/06/2017,RURAL,13
18/06/2017,URBANA,36
19/06/2017,RURAL,15
19/06/2017,URBANA,23
20/06/2017,RURAL,7
20/06/2017,URBANA,16
21/06/2017,RURAL,9
21/06/2017,URBANA,15
22/06/2017,RURAL,8
22/06/2017,URBANA,6
23/06/2017,RURAL,9
23/06/2017,URBANA,17
24/06/2017,RURAL,7
24/06/2017,URBANA,20
25/06/2017,RURAL,13
25/06/2017,URBANA,38
26/06/2017,RURAL,15
26/06/2017,URBANA,14
27/06/2017,RURAL,12
27/06/2017,URBANA,21
28/06/2017,RURAL,6
28/06/2017,URBANA,13
29/06/2017,RURAL,5
29/06/2017,URBANA,24
30/06/2017,RURAL,13
30/06/2017,URBANA,18
01/07/2017,RURAL,14
01/07/2017,URBANA,30
02/07/2017,RURAL,22
02/07/2017,URBANA,47
03/07/2017,RURAL,14
03/07/2017,URBANA,24
04/07/2017,RURAL,6
04/07/2017,URBANA,16
05/07/2017,RURAL,5
05/07/2017,URBANA,21
06/07/2017,RURAL,4
06/07/2017,URBANA,14
07/07/2017,RURAL,5
07/07/2017,URBANA,22
08/07/2017,RURAL,20
08/07/2017,URBANA,38
09/07/2017,RURAL,14
09/07/2017,URBANA,36
10/07/2017,RURAL,9
10/07/2017,URBANA,19
11/07/2017,RURAL,5
11/07/2017,URBANA,21
12/07/2017,RURAL,7
12/07/2017,URBANA,20
13/07/2017,RURAL,4
13/07/2017,URBANA,26
14/07/2017,RURAL,3
14/07/2017,URBANA,23
15/07/2017,RURAL,8
15/07/2017,URBANA,21
16/07/2017,RURAL,22
16/07/2017,URBANA,51
17/07/2017,RURAL,17
17/07/2017,URBANA,24
18/07/2017,RURAL,8
18/07/2017,URBANA,14
19/07/2017,RURAL,7
19/07/2017,URBANA,25
20/07/2017,RURAL,8
20/07/2017,URBANA,16
21/07/2017,RURAL,10
21/07/2017,URBANA,21
22/07/2017,RURAL,10
22/07/2017,URBANA,20
23/07/2017,RURAL,13
23/07/2017,URBANA,44
24/07/2017,RURAL,7
24/07/2017,URBANA,27
25/07/2017,RURAL,9
25/07/2017,URBANA,16
26/07/2017,RURAL,5
26/07/2017,URBANA,18
27/07/2017,RURAL,17
27/07/2017,URBANA,23
28/07/2017,RURAL,10
28/07/2017,URBANA,18
29/07/2017,RURAL,12
29/07/2017,URBANA,21
30/07/2017,RURAL,12
30/07/2017,URBANA,34
31/07/2017,RURAL,6
31/07/2017,URBANA,17
01/08/2017,RURAL,11
01/08/2017,URBANA,12
02/08/2017,RURAL,12
02/08/2017,URBANA,23
03/08/2017,RURAL,5
03/08/2017,URBANA,16
04/08/2017,RURAL,10
04/08/2017,URBANA,27
05/08/2017,RURAL,14
05/08/2017,URBANA,31
06/08/2017,RURAL,13
06/08/2017,URBANA,38
07/08/2017,RURAL,10
07/08/2017,URBANA,26
08/08/2017,RURAL,5
08/08/2017,URBANA,22
09/08/2017,RURAL,13
09/08/2017,URBANA,14
10/08/2017,RURAL,13
10/08/2017,URBANA,16
11/08/2017,RURAL,6
11/08/2017,URBANA,9
12/08/2017,RURAL,12
12/08/2017,URBANA,23
13/08/2017,RURAL,6
13/08/2017,URBANA,45
14/08/2017,RURAL,10
14/08/2017,URBANA,23
15/08/2017,RURAL,8
15/08/2017,URBANA,16
16/08/2017,RURAL,5
16/08/2017,URBANA,19
17/08/2017,RURAL,11
17/08/2017,URBANA,22
18/08/2017,RURAL,7
18/08/2017,URBANA,13
19/08/2017,RURAL,10
19/08/2017,URBANA,19
20/08/2017,RURAL,20
20/08/2017,URBANA,23
21/08/2017,RURAL,8
21/08/2017,URBANA,27
22/08/2017,RURAL,7
22/08/2017,URBANA,12
23/08/2017,RURAL,6
23/08/2017,URBANA,22
24/08/2017,RURAL,16
24/08/2017,URBANA,18
25/08/2017,RURAL,4
25/08/2017,URBANA,19
26/08/2017,RURAL,5
26/08/2017,URBANA,19
27/08/2017,RURAL,15
27/08/2017,URBANA,33
28/08/2017,RURAL,8
28/08/2017,URBANA,18
29/08/2017,RURAL,4
29/08/2017,URBANA,12
30/08/2017,RURAL,7
30/08/2017,URBANA,25
31/08/2017,RURAL,12
31/08/2017,URBANA,19
01/09/2017,RURAL,10
01/09/2017,URBANA,23
02/09/2017,RURAL,10
02/09/2017,URBANA,21
03/09/2017,RURAL,15
03/09/2017,URBANA,34
04/09/2017,RURAL,14
04/09/2017,URBANA,20
05/09/2017,RURAL,6
05/09/2017,URBANA,18
06/09/2017,RURAL,11
06/09/2017,URBANA,13
07/09/2017,RURAL,9
07/09/2017,URBANA,17
08/09/2017,RURAL,9
08/09/2017,URBANA,22
09/09/2017,RURAL,9
09/09/2017,URBANA,22
10/09/2017,RURAL,11
10/09/2017,URBANA,29
11/09/2017,RURAL,13
11/09/2017,URBANA,24
12/09/2017,RURAL,9
12/09/2017,URBANA,16
13/09/2017,RURAL,6
13/09/2017,URBANA,18
14/09/2017,RURAL,6
14/09/2017,URBANA,18
15/09/2017,RURAL,5
15/09/2017,URBANA,21
16/09/2017,RURAL,6
16/09/2017,URBANA,40
17/09/2017,RURAL,14
17/09/2017,URBANA,37
18/09/2017,RURAL,11
18/09/2017,URBANA,24
19/09/2017,RURAL,12
19/09/2017,URBANA,16
20/09/2017,RURAL,4
20/09/2017,URBANA,17
21/09/2017,RURAL,10
21/09/2017,URBANA,17
22/09/2017,RURAL,3
22/09/2017,URBANA,22
23/09/2017,RURAL,16
23/09/2017,URBANA,16
24/09/2017,RURAL,9
24/09/2017,URBANA,33
25/09/2017,RURAL,12
25/09/2017,URBANA,20
26/09/2017,RURAL,7
26/09/2017,URBANA,17
27/09/2017,RURAL,11
27/09/2017,URBANA,17
28/09/2017,RURAL,6
28/09/2017,URBANA,15
29/09/2017,RURAL,8
29/09/2017,URBANA,13
30/09/2017,RURAL,11
30/09/2017,URBANA,13
01/10/2017,RURAL,16
01/10/2017,URBANA,43
02/10/2017,RURAL,7
02/10/2017,URBANA,19
03/10/2017,RURAL,5
03/10/2017,URBANA,17
04/10/2017,RURAL,8
04/10/2017,URBANA,18
